ID, Station Name, Latitude (deg), Longitude (deg), Ellipsoidal Elevation (m), X (m), Y (m), Z (m), Epoch Date (YYYYMMDD)
P468, MazourkaPkCS2006,   36.9756818561, -118.1183657248, 2853.32343, -2405438.85234, -4501513.24367,  3816953.69186, 20230517
P469, HarlisMineCS2007,   37.2314243829, -117.9358124747, 1794.84592, -2382664.49253, -4493276.53035,  3838959.53777, 20230517
P470, BaldyMesa_CS2004,   34.4624056869, -117.3938927535,  991.40499, -2422555.62937, -4674803.11472,  3589415.24933, 20230517
P471, SanJuanCrkCS2005,   33.5621273162, -117.5408708334,  174.77479, -2460057.16199, -4717506.62663,  3506174.97596, 20230517
P472, CampElliotCS2004,   32.8892115475, -117.1047006698,  137.85254, -2442691.91859, -4772473.00700,  3443722.43621, 20230517
P473, Jamacha_LFCS2004,   32.7337784883, -116.9495209487,  188.55606, -2434009.90317, -4787435.83844,  3429261.98359, 20230517
P474, Fallbrook_CS2004,   33.3551952258, -117.2486972346,  182.92053, -2441765.77831, -4741246.05413,  3487030.96855, 20230517
P475, Point_LomaCS2007,   32.6663982442, -117.2439407549,  -25.04022, -2460344.10940, -4778294.61355,  3422858.40152, 20230517
P476, SantaMargaCS2005,   33.4396513209, -117.1896818255,  309.75582, -2434573.22149, -4739266.26937,  3494921.46901, 20230517
P477, TemeculaVHCS2005,   33.5028031345, -117.1133768005,  334.46710, -2426508.15401, -4739084.03660,  3500778.16158, 20230517
P478, ValleyCntrCS2004,   33.2357172410, -117.0715958918,  371.57873, -2430481.43947, -4755388.96976,  3476057.96603, 20230517
P479, CowboyCtryCS2005,   33.4933194517, -116.7829346920, 1093.84728, -2399683.19328, -4754083.17993,  3500320.01491, 20230517
P480, Vallecito_CS2004,   32.9759978176, -116.3485408355,  436.04280, -2377285.00562, -4799828.91775,  3451963.17620, 20230512
P481, CarrizoMtnCS2007,   32.8222408922, -116.0107961500,  610.92201, -2353076.53869, -4822215.48788,  3437739.60414, 20230517
P482, LakHenshawCS2004,   33.2401811655, -116.6714176297,  878.72529, -2397277.33559, -4772384.89428,  3476750.07495, 20230517
P483, JulianBin_CS2004,   33.0591659588, -116.5693306619, 1375.56171, -2393867.51335, -4786841.15724,  3460210.35864, 20230517
P484, SkyOaksBFSCS2005,   33.3755941510, -116.6208425804, 1382.49609, -2389556.31765, -4767501.16798,  3489580.50524, 20230517
P485, TubbCanyonCS2006,   33.2102135462, -116.4090439561,  372.15841, -2376019.77177, -4784564.34795,  3473691.91575, 20230517
P486, BorregoAirCS2004,   33.2601929085, -116.3222907186,  126.26589, -2367334.20757, -4785248.94585,  3478193.76832, 20230517
P487, Cut_AcrossCS2007,   33.2135327069, -116.1830770200,   90.26071, -2356938.61767, -4793505.22023,  3473845.51104, 20230517
